,names,albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,types,duration_ms,time_signature,Labels
0,Get Got,The Money Store,0.57,0.993,7,-3.757,1,0.337,0.00628,0.00796,0.405,87.0,audio_features,171867,4,1
1,The Fever (Aye Aye),The Money Store,0.432,0.94,10,-4.099,0,0.374,0.159,0.0,0.225,80.084,audio_features,186973,4,0
2,Lost Boys,The Money Store,0.464,0.949,2,-2.454,1,0.336,0.003,0.000113,0.374,77.121,audio_features,186320,4,0
3,Blackjack,The Money Store,0.532,0.855,4,-3.014,0,0.301,0.259,0.0,0.534,136.902,audio_features,142000,4,1
4,Hustle Bones,The Money Store,0.6,0.982,4,-2.996,0,0.201,0.104,0.0,0.277,110.015,audio_features,192360,4,1
5,I've Seen Footage,The Money Store,0.603,0.944,11,-3.626,0,0.347,0.0481,0.0,0.418,130.035,audio_features,202853,4,1
6,Double Helix,The Money Store,0.539,0.872,7,-5.59,1,0.324,0.146,0.0,0.474,155.255,audio_features,160093,4,0
7,System Blower,The Money Store,0.747,0.788,11,-3.976,0,0.3,0.0292,0.0,0.837,140.034,audio_features,228093,4,1
8,The Cage,The Money Store,0.385,0.931,0,-3.931,1,0.225,0.00415,0.0,0.455,140.939,audio_features,211093,4,0
9,Punk Weight,The Money Store,0.368,0.95,2,-4.521,1,0.329,0.0301,4.59e-06,0.616,130.568,audio_features,204240,4,0
10,Fuck That,The Money Store,0.56,0.945,1,-2.768,1,0.328,0.0509,0.0,0.344,82.657,audio_features,144867,4,0
11,Bitch Please,The Money Store,0.441,0.799,11,-3.407,0,0.192,0.0166,0.0,0.456,116.21,audio_features,176000,4,0
12,Hacker,The Money Store,0.681,0.88,9,-3.895,1,0.227,0.0567,0.0,0.38,124.885,audio_features,275520,4,1
13,Come Up And Get Me,No Love Deep Web,0.525,0.645,1,-4.638,1,0.0615,0.00175,5.94e-05,0.117,95.225,audio_features,252973,5,0
14,Lil Boy,No Love Deep Web,0.637,0.783,1,-4.359,1,0.319,0.00267,0.0,0.273,146.702,audio_features,226387,4,0
15,No Love,No Love Deep Web,0.547,0.884,8,-1.452,1,0.366,0.0221,1.33e-06,0.608,146.75,audio_features,303693,3,0
16,Black Dice,No Love Deep Web,0.582,0.716,7,-4.712,1,0.263,0.00169,0.0,0.598,147.866,audio_features,206960,4,0
17,World Of Dogs,No Love Deep Web,0.355,0.782,0,-4.614,1,0.223,0.000212,0.00621,0.58,146.516,audio_features,162427,4,0
18,Lock Your Doors,No Love Deep Web,0.314,0.961,1,-3.725,1,0.333,0.0457,0.0,0.417,139.632,audio_features,232160,4,0
19,Whammy,No Love Deep Web,0.69,0.654,7,-6.143,1,0.186,0.000378,5.15e-06,0.668,89.084,audio_features,189400,4,0
20,Hunger Games,No Love Deep Web,0.65,0.784,6,-3.689,1,0.286,0.00408,0.0,0.588,100.106,audio_features,159187,5,0
21,Deep Web,No Love Deep Web,0.462,0.812,0,-3.252,1,0.162,0.0326,0.0,0.386,141.167,audio_features,138253,4,0
22,Stockton,No Love Deep Web,0.857,0.673,1,-3.914,0,0.153,0.00153,0.0,0.0575,124.01,audio_features,197267,4,0
23,Pop,No Love Deep Web,0.528,0.846,1,-4.217,1,0.155,0.0294,5.66e-05,0.283,110.092,audio_features,173507,3,1
