,names,Is Gas?,why?
0,Get Got,0,"0.5 <= key 
speechiness < 0.18
0.0 <= instrumentalness 
"
1,The Fever (Aye Aye),0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
2,Lost Boys,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
3,Blackjack,1,"0.5 <= key 
speechiness < 0.18
0.0 <= instrumentalness 
"
4,Hustle Bones,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
5,I've Seen Footage,0,"0.5 <= key 
speechiness < 0.18
0.0 <= instrumentalness 
"
6,Double Helix,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
7,System Blower,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
8,The Cage,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
9,Punk Weight,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
10,Fuck That,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
11,Bitch Please,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
12,Hacker,0,"0.5 <= key 
speechiness < 0.18
0.0 <= instrumentalness 
"
13,Come Up And Get Me,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
14,Lil Boy,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
15,No Love,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
16,Black Dice,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
17,World Of Dogs,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
18,Lock Your Doors,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
19,Whammy,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
20,Hunger Games,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
21,Deep Web,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
22,Stockton,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
23,Pop,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
24,Bass Rattle Stars Out The Sky,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
25,Artificial Death In The West,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
26,You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
27,Anne Bonny,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
28,Two Heavens,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
29,This Is Violence Now (Don't Get Me Wrong),0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
30,Birds,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
31,Feels Like a Wheel,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
32,I'm Overflow,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
33,Big House,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
34,Government Plates,0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
35,Bootleg (Don't Need Your Help),0,"key < 0.5
speechiness < 0.18
0.0 <= instrumentalness 
"
